Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
4502,MEDIA,MEDIA PRIMA BERHAD,Telecommunications & Media,Main Market,0.270,-12.77,-25.39,No,No,Yes,No,No,No,No,No
4235,LIONIND,LION INDUSTRIES CORPORATION BERHAD,Industrial Products & Services,Main Market,0.430,-45.70,-25.53,No,No,No,Yes,No,No,No,No
5259,EATECH,E.A.TECHNIQUE (M) BERHAD,Transportation & Logistics,Main Market,0.280,-10.09,-25.88,No,No,No,No,No,No,No,No
5172,KSTAR,K-STAR SPORTS LIMITED,Consumer Products & Services,Main Market,0.225,-1.48,-25.96,No,No,No,No,No,No,No,No
6254,PDZ,PDZ HOLDINGS BHD,Transportation & Logistics,Main Market,0.085,-1.20,-26.07,No,No,No,No,Yes,No,No,No
7234,MESB,MESB BERHAD,Consumer Products & Services,Main Market,0.445,-18.72,-26.36,No,No,No,No,No,No,No,No
5112,THPLANT,TH PLANTATIONS BERHAD,Plantation,Main Market,0.565,-17.57,-26.61,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
5256,REACH,REACH ENERGY BERHAD,Energy,Main Market,0.100,-14.50,-27.35,No,No,No,No,No,No,No,No
5213,SNTORIA,SENTORIA GROUP BERHAD,Property,Main Market,0.120,-19.23,-28.70,No,No,No,No,No,No,No,No
7123,PWORTH,PRICEWORTH INTERNATIONAL BERHAD,Industrial Products & Services,Main Market,0.025,-1.45,-29.09,Yes,Yes,No,Yes,No,No,No,No
4243,WTK,WTK HOLDINGS BERHAD,Industrial Products & Services,Main Market,0.470,-50.64,-29.61,No,No,No,No,No,No,No,No
7195,COMCORP,COMINTEL CORPORATION BHD,Industrial Products & Services,Main Market,0.130,-2.77,-29.91,Yes,No,No,No,No,Yes,No,No
6076,ENCORP,ENCORP BERHAD,Property,Main Market,0.235,-28.31,-30.44,No,No,No,No,No,No,No,No
8745,LEWEKO,LEWEKO RESOURCES BERHAD,Industrial Products & Services,Main Market,0.155,-3.10,-30.97,Yes,No,No,No,Yes,No,No,No
5924,MTDACPI,MTD ACPI ENGINEERING BERHAD,Construction,Main Market,0.255,-8.10,-31.15,No,No,No,No,No,No,No,No
